Date,Symbol,Unadjusted_Open,Unadjusted_High,Unadjusted_Low,Unadjusted_Close,Unadjusted_Volume
2018-10-31,LIN,161.74,165.6,161.31,165.47,18032219
2018-11-01,LIN,164.66,165.48,161.94,162.0,11423528
2018-11-02,LIN,160.66,161.81,155.44,159.84,6835139
2018-11-05,LIN,157.65,162.19,157.45,161.99,4477443
2018-11-06,LIN,161.83,166.35,161.67,165.53,2510572
2018-11-07,LIN,164.54,166.85,164.23,166.85,7626295
2018-11-08,LIN,164.5,166.15,162.93,165.3,4010008
2018-11-09,LIN,162.99,163.94,160.55,161.52,3249146
2018-11-12,LIN,160.06,162.3,158.91,159.22,1990839
2018-11-13,LIN,160.22,160.33,156.53,156.93,2507084
2018-11-14,LIN,158.19,158.24,153.0,153.36,2338763
2018-11-15,LIN,156.09,156.3,152.56,155.18,2759391
2018-11-16,LIN,153.74,158.4575,153.4,158.08,2726823
2018-11-19,LIN,158.61,161.45,158.44,159.5,2464717
2018-11-20,LIN,157.49,160.19,157.24,157.87,2151626
2018-11-21,LIN,159.24,161.24,158.5518,159.06,2070941
2018-11-23,LIN,156.86,158.01,156.02,156.19,963558
2018-11-26,LIN,157.04,158.22,156.88,157.32,2678195
2018-11-27,LIN,155.66,156.65,151.52,152.55,2525894
2018-11-28,LIN,153.53,156.48,151.7,156.29,1808830
2018-11-29,LIN,155.51,159.84,155.35,159.31,2901283
2018-11-30,LIN,157.02,160.61,156.94,159.05,3944199
2018-12-03,LIN,162.3,164.42,159.92,164.35,3177158
2018-12-04,LIN,163.95,164.29,160.45,160.83,2746072
2018-12-06,LIN,158.53,159.02,153.0,155.98,4785369
2018-12-07,LIN,156.22,158.52,152.36,152.72,2518766
2018-12-10,LIN,156.03,157.545,154.11,156.91,2540418
2018-12-11,LIN,161.16,162.46,156.65,157.46,2552869
2018-12-12,LIN,161.65,162.14,159.46,160.55,2402588
2018-12-13,LIN,160.4,161.3,157.3,158.09,2456699
2018-12-14,LIN,157.38,158.47,156.05,156.93,2360754
2018-12-17,LIN,157.19,159.44,155.59,157.33,3148643
2018-12-18,LIN,158.42,158.89,156.63,157.61,2147003
2018-12-19,LIN,157.4,158.5,155.21,155.83,2618675
2018-12-20,LIN,154.48,156.4,152.44,154.05,3398929
2018-12-21,LIN,156.01,157.48,153.03,153.11,5452061
2018-12-24,LIN,152.7,153.41,148.13,148.13,2086789
2018-12-26,LIN,148.75,152.77,145.95,152.74,2591492
2018-12-27,LIN,152.05,156.41,150.6,156.41,2866950
2018-12-28,LIN,157.1,158.56,155.04,156.31,1586143
2018-12-31,LIN,156.23,157.0,153.94,156.04,1853930
2019-01-02,LIN,153.53,158.16,153.52,157.2,1716443
2019-01-03,LIN,154.06,154.35,151.93,152.29,1775529
2019-01-04,LIN,153.83,157.62,153.36,156.63,1801275
2019-01-07,LIN,155.78,158.04,155.15,156.49,1830185
2019-01-08,LIN,156.09,158.56,155.2,158.15,2207298
2019-01-09,LIN,156.73,159.53,156.33,158.46,2099888
2019-01-10,LIN,158.7,161.98,158.35,161.85,2093890
2019-01-11,LIN,160.56,160.76,159.37,160.21,1380391
2019-01-14,LIN,158.37,159.5,157.7,158.02,2004827
2019-01-15,LIN,156.84,157.87,156.54,157.23,2110706
2019-01-16,LIN,157.53,158.42,157.08,157.24,1382133
2019-01-17,LIN,156.4,157.65,156.21,157.26,2176501
2019-01-18,LIN,158.76,161.45,158.01,160.79,2494756
2019-01-22,LIN,161.61,161.78,159.69,160.84,1699074
2019-01-23,LIN,160.57,161.09,157.46,158.93,1569547
2019-01-24,LIN,157.61,157.91,156.43,157.37,2528024
2019-01-25,LIN,158.69,160.11,158.64,158.84,1242664
2019-01-28,LIN,157.78,158.39,156.88,158.21,1422480
2019-01-29,LIN,159.57,162.0,159.35,161.22,1558358
2019-01-30,LIN,161.79,163.75,161.16,162.92,1113641
2019-01-31,LIN,161.18,163.42,159.63,163.01,1645906
2019-02-01,LIN,163.91,165.9,163.46,165.76,1324345
2019-02-04,LIN,165.48,165.69,163.22,163.5,2106508
2019-02-05,LIN,165.26,165.99,163.8,164.99,2358571
2019-02-06,LIN,163.95,164.62,163.04,163.42,1124785
2019-02-07,LIN,161.75,162.24,159.4304,160.69,1360964
2019-02-08,LIN,160.07,161.61,159.081,161.22,1557942
2019-02-11,LIN,161.06,161.62,160.63,161.35,1128408
2019-02-12,LIN,164.13,167.55,163.89,167.53,1772008
2019-02-13,LIN,167.09,168.49,166.79,167.38,1599349
2019-02-14,LIN,166.65,167.6,165.93,166.5,1104141
2019-02-15,LIN,170.54,170.71,167.77,168.54,2573604
2019-02-19,LIN,168.0,168.78,167.56,167.86,2221223
2019-02-20,LIN,167.59,171.005,167.59,170.3,2574751
2019-02-21,LIN,170.98,172.3,170.54,171.4,1736555
2019-02-22,LIN,172.24,173.74,171.55,173.5,1075724
2019-02-25,LIN,173.89,175.01,173.39,174.62,1526810
2019-02-26,LIN,173.79,174.89,173.45,173.91,1739158
2019-02-27,LIN,173.4,175.12,172.63,174.5,1451801
2019-02-28,LIN,174.81,174.93,173.1,173.24,1698289
2019-03-01,LIN,176.36,176.73,167.86,168.38,3033462
2019-03-04,LIN,168.35,168.91,166.07,168.7,1738053
2019-03-05,LIN,168.35,169.94,168.345,168.44,1205906
2019-03-06,LIN,168.84,169.68,168.21,169.13,986917
2019-03-07,LIN,169.36,169.36,166.82,167.47,1450135
2019-03-08,LIN,168.75,169.52,167.76,169.46,1558439
2019-03-11,LIN,169.48,171.31,169.415,171.28,1188763
2019-03-12,LIN,171.78,172.9,171.3901,172.32,1309211
2019-03-13,LIN,174.01,175.51,173.64,174.39,1538460
2019-03-14,LIN,174.25,174.44,173.17,174.21,1033242
2019-03-15,LIN,176.28,176.96,174.43,176.43,3661441
