Date,Symbol,Unadjusted_Open,Unadjusted_High,Unadjusted_Low,Unadjusted_Close,Unadjusted_Volume
2014-08-11,STE,51.86,52.3,51.4,51.73,171368
2014-08-13,STE,52.65,53.34,52.57,53.3,280302
2014-08-15,STE,54.06,54.09,53.32,53.67,306066
2014-08-19,STE,54.72,55.02,54.52,55.01,244402
2014-08-21,STE,54.96,55.5,54.5,55.46,217039
2014-08-25,STE,55.56,55.95,55.56,55.86,269883
2014-08-29,STE,55.78,56.37,55.61,56.29,175662
2014-09-08,STE,56.97,57.16,56.59,57.0,189569
2014-09-09,STE,57.1,57.36,56.29,56.47,155209
2014-09-10,STE,56.37,57.01,56.15,56.47,157460
2014-09-15,STE,56.59,56.95,55.99,56.58,315328
2014-09-16,STE,56.58,57.12,56.24,56.65,313042
2014-09-17,STE,56.53,56.6,55.94,56.21,49409
2014-09-23,STE,55.05,55.5,54.92,55.15,343106
2014-09-24,STE,55.42,55.66,55.08,55.63,232525
2014-09-26,STE,54.68,54.96,54.35,54.52,227838
2014-10-03,STE,54.29,54.87,54.02,54.63,180035
2014-10-06,STE,54.96,55.4,54.79,55.26,221236
2014-10-07,STE,54.94,56.4,54.76,56.16,578526
2014-10-10,STE,57.35,58.15,56.36,56.38,648535
2014-10-16,STE,54.52,55.27,54.0,54.99,686432
2014-10-29,STE,60.34,61.09,59.69,60.42,371420
2015-11-04,STE,76.24,77.47,74.5,75.51,2176288
2015-11-05,STE,75.64,77.21,75.23,76.83,807126
2015-11-06,STE,76.84,76.84,75.08,75.46,660633
2015-11-09,STE,75.21,75.45,73.1,73.75,958070
2015-11-10,STE,73.4,74.68,73.4,74.51,2116333
2015-11-11,STE,74.56,74.72,73.26,73.62,427987
2015-11-12,STE,73.65,73.75,72.22,73.24,716693
2015-11-13,STE,73.15,74.35,72.89,74.05,1241820
2015-11-16,STE,74.14,75.64,73.8,75.29,954118
2015-11-17,STE,75.66,75.8,74.87,75.3,886030
2015-11-18,STE,75.26,75.79,75.0,75.78,614316
2015-11-19,STE,75.88,75.88,74.06,74.56,343097
2015-11-20,STE,75.01,75.49,74.45,74.59,832697
2015-11-23,STE,74.25,74.67,73.68,74.28,958425
2015-11-24,STE,73.7,75.12,73.3,75.04,1128898
2015-11-25,STE,74.86,76.34,74.86,76.04,594702
2015-11-27,STE,76.34,76.5,75.88,76.35,240174
2015-11-30,STE,76.41,76.56,75.94,76.38,769396
2015-12-01,STE,76.69,77.11,76.0,76.9,585161
2015-12-02,STE,76.89,77.19,75.25,76.18,2246054
2015-12-03,STE,76.19,76.92,73.48,73.53,744640
2015-12-04,STE,73.51,74.88,73.2,74.24,715000
2015-12-07,STE,74.49,76.74,74.02,76.47,1184909
2015-12-08,STE,75.38,77.0,72.73,73.1,1588860
2015-12-09,STE,72.97,73.61,71.66,72.08,1053675
2015-12-10,STE,72.52,73.7,72.31,73.39,963199
2015-12-11,STE,72.44,73.28,72.2,72.35,857227
2015-12-14,STE,72.49,73.38,71.13,71.65,805257
2015-12-15,STE,72.11,72.8,71.77,71.97,809639
2015-12-16,STE,72.78,74.32,72.32,74.1,1107376
2015-12-17,STE,74.37,74.69,73.57,73.57,669099
2015-12-18,STE,73.29,73.53,70.96,71.03,2494135
2015-12-21,STE,71.37,71.66,70.7,71.18,827970
2015-12-22,STE,72.42,74.92,72.42,74.01,1263928
2015-12-23,STE,74.76,76.91,74.44,76.83,925490
2015-12-24,STE,76.83,77.36,76.41,76.61,258732
2015-12-28,STE,76.57,76.82,75.42,76.39,700212
2015-12-29,STE,77.06,77.85,76.1,77.73,510664
2015-12-30,STE,78.01,78.77,76.89,76.95,404954
2015-12-31,STE,76.82,76.82,75.32,75.34,588085
2016-01-04,STE,74.11,74.98,73.39,74.37,870537
2016-01-05,STE,74.32,75.01,73.43,74.29,739376
2016-01-06,STE,73.37,75.1,73.25,74.41,696560
2016-01-07,STE,73.0,74.22,72.32,72.5,500691
2016-01-08,STE,72.64,72.87,70.45,70.55,598935
2016-01-11,STE,70.82,71.55,68.94,69.63,659107
2016-01-12,STE,70.12,70.54,68.9,69.62,924839
2016-01-13,STE,69.76,70.19,66.97,67.0,696340
2016-01-14,STE,67.16,68.32,66.21,67.92,783798
2016-01-15,STE,66.26,67.42,65.77,67.33,714868
2016-01-19,STE,67.9,68.36,66.53,67.08,700426
2016-01-20,STE,66.18,68.57,65.18,67.87,1150283
2016-01-21,STE,67.89,68.66,67.04,67.6,858932
2016-01-22,STE,68.41,69.57,68.2,69.56,617380
2016-01-25,STE,69.33,70.3,69.08,69.41,570880
2016-01-26,STE,69.59,69.87,68.72,69.35,661236
2016-01-27,STE,69.0,70.51,68.68,68.91,783078
2016-01-28,STE,69.25,69.56,66.67,67.88,876381
2016-01-29,STE,68.25,69.37,68.25,69.24,668028
2016-02-01,STE,68.49,70.13,68.49,69.83,736774
2016-02-02,STE,68.99,69.34,68.48,69.11,436166
2016-02-03,STE,69.77,69.77,68.2,68.92,666790
2016-02-04,STE,68.97,69.44,68.35,68.66,950930
2016-02-05,STE,68.29,68.43,66.47,66.76,724437
2016-02-08,STE,65.86,66.28,63.71,65.46,739874
2016-02-09,STE,66.48,67.98,65.18,66.47,1532417
2016-02-10,STE,67.02,67.36,64.09,64.2,1173577
2016-02-11,STE,62.28,63.69,61.41,62.47,835134
2016-02-12,STE,63.17,63.23,61.38,62.61,667282
2016-02-16,STE,63.03,64.25,62.85,64.02,515315
2016-02-17,STE,64.32,65.16,64.1,64.67,570643
2016-02-18,STE,64.73,65.29,63.59,63.7,574964
2016-02-19,STE,63.54,63.78,62.68,63.62,552696
2016-02-22,STE,64.14,64.6,63.4,64.48,687986
2016-02-23,STE,63.96,64.23,62.65,62.77,727788
2016-02-24,STE,62.39,63.46,61.64,63.39,447353
2016-02-25,STE,63.52,65.29,63.43,65.26,159683
2016-02-26,STE,65.19,65.34,64.45,64.54,509961
2016-02-29,STE,64.59,64.96,63.32,64.32,843142
2016-03-01,STE,64.62,65.58,64.35,65.01,590220
2016-03-02,STE,64.78,65.67,64.78,65.3,594574
2016-03-03,STE,65.24,66.07,65.06,66.02,557674
2016-03-04,STE,66.0,67.1,65.97,66.98,633916
2016-03-07,STE,66.66,68.0,66.38,68.0,627479
2016-03-08,STE,67.45,68.44,67.28,67.34,1000376
2016-03-09,STE,67.32,67.54,67.13,67.37,782822
2016-03-10,STE,67.36,68.01,66.19,66.4,903756
2016-03-11,STE,66.91,68.64,66.65,68.54,881442
2016-03-14,STE,68.18,68.74,67.1,67.67,683810
2016-03-15,STE,67.07,67.46,66.65,66.77,659658
2016-03-16,STE,66.38,67.36,66.38,66.92,450380
2016-03-17,STE,66.69,67.02,66.03,66.29,616447
2016-03-18,STE,66.41,67.8,66.21,67.5,1486858
2016-03-21,STE,67.2,68.69,67.02,68.5,520863
2016-03-22,STE,67.99,69.29,67.96,69.12,608014
2016-03-23,STE,69.12,69.71,69.01,69.42,994706
2016-03-24,STE,68.91,69.41,68.43,69.22,991550
2016-03-28,STE,69.22,70.34,69.04,70.18,633423
2016-03-29,STE,69.97,71.81,69.71,71.73,1134408
2016-03-30,STE,72.0,72.78,71.56,71.74,664432
2016-03-31,STE,71.87,72.28,70.74,71.05,699261
2016-04-01,STE,70.86,72.27,70.49,72.25,634080
