Date,Symbol,Split_Adjusted_Open,Split_Adjusted_High,Split_Adjusted_Low,Split_Adjusted_Close,Split_Adjusted_Volume
2015-01-02,QRVO,69.0,72.0,68.01,70.4,4218773
2015-01-05,QRVO,71.23,71.3,67.06,67.63,4534786
2015-01-06,QRVO,67.93,67.99,63.02,64.67,3749900
2015-01-07,QRVO,65.01,66.76,63.51,66.65,2122624
2015-01-08,QRVO,67.95,69.69,67.13,67.69,2514567
2015-01-09,QRVO,68.45,68.45,66.61,67.11,934190
2015-01-12,QRVO,67.39,67.99,64.8,65.52,1259246
2015-01-13,QRVO,65.74,67.59,63.61,65.02,1230742
2015-01-14,QRVO,64.65,65.45,63.11,64.59,980702
2015-01-15,QRVO,64.23,64.94,63.6,64.39,1246849
2015-01-16,QRVO,64.02,66.42,63.81,65.81,1392888
2015-01-20,QRVO,65.75,68.2,65.23,67.96,1096239
2015-01-21,QRVO,67.61,70.8,67.57,68.84,1451616
2015-01-22,QRVO,69.54,70.68,67.03,70.61,1332703
2015-01-23,QRVO,70.72,74.34,70.57,73.37,1677595
2015-01-26,QRVO,72.4,74.0,72.3,73.15,1571826
2015-01-27,QRVO,73.0,73.88,71.5,73.75,1246687
2015-01-28,QRVO,75.0,78.05,74.22,75.5,3063005
2015-01-29,QRVO,72.7,75.88,72.2,75.76,2636706
2015-01-30,QRVO,74.64,75.26,73.31,73.87,1623369
2015-02-02,QRVO,73.08,74.0,66.88,68.72,3348309
2015-02-03,QRVO,68.74,70.0,67.05,68.52,2551794
2015-02-04,QRVO,67.53,69.4,66.76,68.33,1499558
2015-02-05,QRVO,67.66,68.73,66.5,67.39,1322918
2015-02-06,QRVO,67.5,68.5,65.53,65.89,1302192
2015-02-09,QRVO,65.2,65.82,63.35,63.74,1563602
2015-02-10,QRVO,63.87,65.12,63.67,65.02,1306622
2015-02-11,QRVO,64.93,65.65,63.17,64.75,1096587
2015-02-12,QRVO,65.63,66.33,65.0,66.2,1159026
2015-02-13,QRVO,66.35,70.27,65.63,70.03,1870878
2015-02-17,QRVO,70.0,70.0,68.06,69.44,973963
2015-02-18,QRVO,69.15,70.0,67.31,67.54,1056656
2015-02-19,QRVO,67.0,68.17,65.25,65.3,1225397
2015-02-20,QRVO,65.57,65.77,64.04,65.17,1463428
2015-02-23,QRVO,65.16,65.88,64.3,65.05,889737
2015-02-24,QRVO,65.36,69.35,65.2,69.34,1700103
2015-02-25,QRVO,68.95,69.28,66.6,67.21,965173
2015-02-26,QRVO,68.0,71.72,67.89,71.53,2116352
2015-02-27,QRVO,70.75,71.43,69.2,69.4,1400857
2015-03-02,QRVO,69.39,70.8,68.8,69.35,1127924
2015-03-03,QRVO,69.36,70.96,68.35,70.84,1509044
2015-03-04,QRVO,70.23,73.25,70.11,72.02,1397547
2015-03-05,QRVO,72.2,75.16,72.02,74.51,1621943
2015-03-06,QRVO,73.41,74.5,72.75,72.98,988083
2015-03-09,QRVO,73.24,75.45,73.13,74.83,1076610
2015-03-10,QRVO,74.13,74.31,71.74,72.15,1365519
2015-03-11,QRVO,72.67,73.6,72.05,72.95,1039697
2015-03-12,QRVO,73.34,74.35,72.92,73.42,794838
2015-03-13,QRVO,73.35,73.99,71.8,72.57,761933
2015-03-16,QRVO,74.21,76.75,74.0,76.33,1822376
2015-03-17,QRVO,76.16,78.12,75.9,77.71,1824736
2015-03-18,QRVO,77.86,80.8,77.69,79.96,2272864
2015-03-19,QRVO,81.52,82.27,79.21,80.38,1885961
2015-03-20,QRVO,81.44,81.5,79.69,80.8,4740960
2015-03-23,QRVO,81.15,84.19,81.07,84.09,2001013
2015-03-24,QRVO,84.6,85.63,82.66,83.21,1792326
2015-03-25,QRVO,83.55,83.79,75.52,77.13,3728849
2015-03-26,QRVO,73.5,77.75,72.1,77.19,3005851
2015-03-27,QRVO,77.63,80.69,77.51,79.28,2634855
2015-03-30,QRVO,80.22,81.4,79.71,81.4,1820353
2015-03-31,QRVO,80.93,81.0,78.55,79.7,2006906
2015-04-01,QRVO,78.53,79.3,77.81,78.8,1430165
2015-04-02,QRVO,79.2,79.2,76.67,77.79,1603809
2015-04-06,QRVO,76.88,77.15,75.2,76.51,1613574
2015-04-07,QRVO,77.08,77.69,72.73,73.23,2251917
2015-04-08,QRVO,73.8,75.2,72.51,72.84,2108002
2015-04-09,QRVO,72.71,74.9,71.22,74.63,1385059
2015-04-10,QRVO,75.61,75.93,72.76,73.58,1315407
2015-04-13,QRVO,73.79,75.12,72.11,72.63,1243676
2015-04-14,QRVO,72.38,73.17,69.3,70.5,2457067
2015-04-15,QRVO,71.0,72.0,69.37,70.91,1714594
2015-04-16,QRVO,70.8,71.5,68.61,71.46,1495531
2015-04-17,QRVO,70.7,71.11,69.61,70.07,1177836
2015-04-20,QRVO,70.4,72.35,70.4,72.01,1216884
2015-04-21,QRVO,72.5,74.26,72.01,74.07,1159958
2015-04-22,QRVO,74.25,74.54,73.06,74.48,817874
2015-04-23,QRVO,73.93,73.95,71.55,73.27,1121670
2015-04-24,QRVO,73.08,73.1,69.7,70.12,1633801
2015-04-27,QRVO,69.93,71.69,68.9,69.37,1512928
2015-04-28,QRVO,69.97,70.31,65.44,67.86,2044430
2015-04-29,QRVO,67.59,69.0,66.51,68.65,994215
2015-04-30,QRVO,68.47,68.85,65.8,65.91,1632031
2015-05-01,QRVO,66.8,69.61,66.68,69.6,1708891
2015-05-04,QRVO,69.85,70.5,68.66,68.99,1621588
2015-05-05,QRVO,68.51,69.22,66.02,67.07,1532575
2015-05-06,QRVO,67.7,69.4,66.5,69.06,2131898
2015-05-07,QRVO,77.63,78.0,73.21,75.56,4721326
2015-05-08,QRVO,76.38,77.97,76.21,76.56,1991630
2015-05-11,QRVO,75.99,76.0,73.84,74.56,1697885
2015-05-12,QRVO,74.13,75.85,74.0,74.75,1381572
2015-05-13,QRVO,75.35,76.1,74.33,74.96,804124
2015-05-14,QRVO,75.17,77.22,75.04,76.98,1556393
2015-05-15,QRVO,76.7,77.14,75.83,76.54,1711316
2015-05-18,QRVO,75.76,80.39,75.5,80.3,2668764
2015-05-19,QRVO,80.75,81.89,79.4,80.1,1644055
2015-05-20,QRVO,79.8,81.99,79.4,81.15,1213533
2015-05-21,QRVO,81.15,81.85,79.79,81.26,1937811
2015-05-22,QRVO,82.0,84.64,82.0,84.03,3055359
2015-05-26,QRVO,83.44,83.73,81.39,82.46,2157360
2015-05-27,QRVO,82.96,86.75,82.7,86.4,2807004
2015-05-28,QRVO,86.21,86.33,82.06,82.3,2310460
2015-05-29,QRVO,82.87,84.33,82.03,82.15,2770204
2015-06-01,QRVO,82.5,83.36,80.09,80.94,2210923
2015-06-02,QRVO,80.59,80.96,79.0,80.86,1703772
2015-06-03,QRVO,81.35,81.91,80.9,81.55,2263414
2015-06-04,QRVO,80.68,82.1,80.08,81.32,1203774
2015-06-05,QRVO,81.06,83.85,80.12,83.7,1801268
2015-06-08,QRVO,83.42,83.77,79.75,80.24,2193013
2015-06-09,QRVO,80.51,81.0,77.6,80.05,2807660
2015-06-10,QRVO,81.38,82.74,80.29,82.5,6108678
2015-06-11,QRVO,82.49,83.0,81.65,82.0,28866259
2015-06-12,QRVO,81.99,83.7,81.75,83.51,2641046
2015-06-15,QRVO,82.51,82.99,82.05,82.18,2640829
2015-06-16,QRVO,82.22,84.99,82.11,84.75,2476532
2015-06-17,QRVO,84.81,85.07,83.09,84.56,1894035
2015-06-18,QRVO,84.63,85.46,83.62,84.65,2013364
2015-06-19,QRVO,84.89,86.28,84.33,85.25,2833108
2015-06-22,QRVO,86.27,88.35,85.86,87.81,2664696
2015-06-23,QRVO,87.9,87.96,84.85,85.31,2469367
2015-06-24,QRVO,85.13,85.88,84.56,84.59,1488568
2015-06-25,QRVO,84.75,85.86,84.75,84.98,1391270
2015-06-26,QRVO,84.85,85.0,79.66,80.41,20596323
2015-06-29,QRVO,78.75,81.69,77.83,79.06,2892520
2015-06-30,QRVO,80.0,81.0,78.58,80.27,1957799
2015-07-01,QRVO,81.25,82.25,80.01,80.36,1639714
2015-07-02,QRVO,80.72,81.55,80.2,81.36,1151395
2015-07-06,QRVO,80.33,81.94,78.59,79.99,2121645
2015-07-07,QRVO,80.29,80.43,74.36,79.95,3086401
2015-07-08,QRVO,77.43,77.45,74.48,74.68,3271840
2015-07-09,QRVO,76.3,77.27,74.33,74.63,2011298
2015-07-10,QRVO,75.22,76.5,73.71,76.16,2365795
2015-07-13,QRVO,77.17,78.21,75.24,76.61,1397443
2015-07-14,QRVO,77.14,78.52,76.93,77.96,1047521
2015-07-15,QRVO,78.6,79.1,77.43,77.88,1051254
2015-07-16,QRVO,78.07,80.52,77.7,80.24,1501041
2015-07-17,QRVO,80.14,80.79,78.1,78.86,1327631
2015-07-20,QRVO,78.5,79.58,76.5,76.7,2117605
2015-07-21,QRVO,76.22,77.95,75.41,77.45,1692304
2015-07-22,QRVO,72.55,74.88,71.01,74.17,3345645
2015-07-23,QRVO,74.71,77.22,74.44,75.24,1777362
2015-07-24,QRVO,76.51,77.17,72.2,72.28,1952249
2015-07-27,QRVO,71.45,71.45,69.01,69.94,1926702
2015-07-28,QRVO,70.5,71.08,68.5,70.75,1371697
2015-07-29,QRVO,70.33,70.85,68.94,70.47,2562748
2015-07-30,QRVO,60.65,62.35,57.1,60.48,10331417
2015-07-31,QRVO,60.61,60.79,57.64,57.95,4389313
2015-08-03,QRVO,57.52,58.61,56.55,57.52,3662936
2015-08-04,QRVO,56.68,58.14,54.37,55.06,5794839
2015-08-05,QRVO,55.16,56.83,54.25,54.83,4187031
2015-08-06,QRVO,54.73,54.83,50.8,51.83,3199748
2015-08-07,QRVO,51.54,53.07,51.0,52.2,1874090
2015-08-10,QRVO,53.18,55.1,53.17,54.53,2160562
2015-08-11,QRVO,53.5,54.91,53.13,53.86,2311339
2015-08-12,QRVO,52.74,57.6,51.71,56.96,3352155
2015-08-13,QRVO,57.23,59.68,55.84,58.32,3508380
2015-08-14,QRVO,57.58,58.68,56.31,58.24,2517344
2015-08-17,QRVO,57.71,58.43,57.35,58.28,1251786
2015-08-18,QRVO,57.6,57.94,55.85,55.93,1585966
2015-08-19,QRVO,55.9,56.85,55.01,55.59,1820140
2015-08-20,QRVO,54.61,55.35,52.23,52.36,2399474
2015-08-21,QRVO,51.83,51.99,49.86,49.99,3704004
2015-08-24,QRVO,45.5,51.07,45.0,48.5,3978164
2015-08-25,QRVO,51.79,52.97,49.78,49.81,2656140
2015-08-26,QRVO,51.67,52.97,49.77,52.75,2350959
2015-08-27,QRVO,54.13,55.89,54.02,54.74,2540710
2015-08-28,QRVO,54.37,55.92,54.22,55.79,1757971
